,route_name,route_direction_id,stop_id,stop_name,boardings,alightings,total_b_a,geometry
470,25,238661,60736,Fruitdale & St Elizabeth,39.3932085071791,24.274744210038325,63.66795271721744,POINT (6149857.41757359 1938663.01931681)
471,25,238790,60737,Meridian & Fruitdale,25.818782932753518,29.87751521354462,55.69629814629812,POINT (6150501.68236117 1938509.44055574)
472,25,238790,60739,Willow & Meridian,31.79777395806808,14.194929253752779,45.99270321182086,POINT (6150662.24142325 1936198.33822256)
473,25,238790,60740,Willow & Camino Ramon,8.655711771888239,3.7410373123608407,12.39674908424908,POINT (6152065.40134658 1936637.46300048)
474,25,238790,60742,Willow & Carolyn,1.403431372549019,2.3774810973340372,3.7809124698830576,POINT (6153032.10577799 1937167.32677014)
475,25,238790,60744,Willow & Lincoln,70.59801056786348,44.224611009905104,114.82262157776864,POINT (6154309.36733107 1937868.45561723)
476,25,238790,60745,Willow & Kotenberg,5.684034511240392,5.055608525461464,10.739643036701858,POINT (6155167.16810891 1938337.75553164)
477,25,238790,60746,Willow & Bird,20.950742802948678,9.066077305047893,30.016820107996583,POINT (6155967.5152615 1938876.76199956)
478,25,238790,60747,Willow & Delmas,4.358292197998079,5.57107035121741,9.929362549215487,POINT (6156302.57659924 1939110.64703047)
479,25,238790,60749,Willow & Minnesota,11.572632677779735,7.772988694312223,19.345621372091962,POINT (6157376.9848835 1939873.56676447)
481,25,238790,60751,Willow & Palm,34.65036099521395,27.268805867335285,61.91916686254922,POINT (6158996.70933433 1941013.71671514)
482,25,238790,60752,Willow & Almaden,79.0114603533721,44.15866935352232,123.17012970689444,POINT (6159710.54550508 1941514.78395449)
483,25,238790,60753,Graham & Mastic,20.113886521974756,9.132920266008503,29.24680678798325,POINT (6160324.81461775 1941596.38845006)
484,25,238790,60754,Keyes & 1st,286.23221753736453,138.58115642527406,424.8133739626387,POINT (6161172.77814491 1941965.88049322)
485,25,238790,60755,Keyes & 5th,17.80262833571657,11.646846699052581,29.449475034769144,POINT (6162023.44311024 1942441.68892482)
486,25,238790,60756,Keyes & 7th,25.164439563704274,21.983165200812252,47.14760476451653,POINT (6162873.96339083 1942929.54195173)
487,25,238790,60757,Keyes & 10th,83.94091692621106,93.20605570899681,177.14697263520793,POINT (6163849.96143883 1943488.77902223)
488,25,238790,60758,Keyes & 12th,170.61400290885575,88.43069757040352,259.04470047925935,POINT (6164384.22021283 1943790.8578144)
489,25,238790,60759,Story & Roberts,80.07396892323364,130.54516496575323,210.61913388898688,POINT (6166565.76473425 1945108.96574248)
490,25,238790,60760,Story & Lucretia,91.3805226636109,91.2846911258676,182.6652137894785,POINT (6167160.20022516 1945614.87221098)
491,25,238790,60761,Story & McLaughlin,171.772513189425,94.07342200283375,265.8459351922587,POINT (6168258.17276675 1946518.43077131)
492,25,238790,60762,Story & King,215.48002055134404,364.2670808766398,579.7471014279838,POINT (6171360.53795308 1949080.63201173)
493,25,238790,60764,Story & Hopkins,36.87672939805296,38.51030587059999,75.38703526865285,POINT (6172977.51995534 1950414.26878014)
494,25,238790,60765,Story & Karl,22.040499696382057,59.88641277023631,81.9269124666183,POINT (6173753.89537108 1951055.36198615)
495,25,238790,60766,Story & Jackson,30.339448460036696,63.88956484691776,94.22901330695451,POINT (6174512.613998 1951683.9837604)
496,25,238790,60767,Story & Leeward,7.897345138521608,29.864654299948413,37.76199943847003,POINT (6174997.99262041 1952084.91701365)
497,25,238790,60768,Story & Capitol,21.685059874765756,30.6551850926851,52.34024496745086,POINT (6175728.61911191 1952684.1116814)
498,25,238790,60769,Story & McGinness,20.793525102348628,83.14459813062756,103.93812323297614,POINT (6176832.8554205 1953618.87195098)
499,25,238790,60770,Story & Lyndale,9.410116354233997,68.03316936331643,77.44328571755042,POINT (6177459.89583308 1954134.36895148)
500,25,238791,60780,White & Woodhaven,38.59969205630974,38.3356050811933,76.93529713750301,POINT (6177400.8779065 1956026.54725373)
501,25,238791,60781,Story & White,233.53914525017467,59.00950552715257,292.5486507773273,POINT (6178123.43518841 1954766.25449874)
502,25,238791,60782,Story & Lyndale,57.26034374122609,12.859422848393438,70.11976658961952,POINT (6177205.773966 1954027.26155415)
503,25,238791,60783,Story & McGinness,40.39509403994698,15.118476947888714,55.513570987835685,POINT (6176640.17568775 1953560.78742148)
504,25,238791,60784,Story & Capitol,43.60537664949429,18.078944584826935,61.68432123432124,POINT (6175812.721634 1952874.82028948)
505,25,238791,60785,Story & Leeward,33.48947988286225,13.438873789609083,46.928353672471324,POINT (6174936.14366275 1952151.34142148)
506,25,238791,60786,Story & Jackson,135.10044457176804,43.209926837868025,178.3103714096361,POINT (6174062.18215609 1951431.13026348)
507,25,238791,60787,Story & Hopkins,43.60540831717303,29.58583491671727,73.19124323389028,POINT (6172861.34630316 1950442.87535022)
508,25,238791,60789,Story & King,348.70282070870303,210.53319254275144,559.2360132514544,POINT (6171412.06081592 1949247.03358181)
509,25,238791,60790,Story & McLaughlin,111.99669774669772,178.2626416067593,290.2593393534571,POINT (6167803.26816475 1946267.92864765)
510,25,238791,60791,Story & Lucretia,166.62018977754272,140.63415595842062,307.2543457359634,POINT (6166840.44003791 1945481.50075856)
511,25,238791,60793,Keyes & 10th,50.8514142720025,54.83686387142269,105.68827814342521,POINT (6163568.90786707 1943400.03346482)
512,25,238791,60794,Keyes & 7th,20.675411598205713,24.376415577886167,45.05182717609189,POINT (6162665.62095974 1942881.61619456)
513,25,238791,60795,Keyes & 5th,10.766521223874161,25.537284610814023,36.3038058346882,POINT (6161943.54792883 1942466.89589539)
514,25,238791,60796,Goodyear & 1st,155.02278456837283,288.02435938244776,443.04714395082044,POINT (6160947.70313574 1941888.35472965)
515,25,238791,60797,Willow & Almaden,46.216171491906806,76.70793373293375,122.92410522484047,POINT (6159680.91400266 1941536.70615473)
516,25,238791,60798,Willow & Palm,29.525987492899255,38.7044058882294,68.23039338112865,POINT (6158841.88418466 1940947.91369714)
517,25,238791,60799,Willow & Minnesota,9.17526068702539,11.769797767591886,20.945058454617264,POINT (6157369.21751058 1939918.4718584)
518,25,238791,60801,Willow & Shepherd,6.882231738849385,10.630755927079457,17.51298766592885,POINT (6156345.51516166 1939201.04350322)
519,25,238791,60802,Willow & Bird,7.715981240981239,19.87258248287659,27.588563723857828,POINT (6155535.896046 1938624.29367247)
520,25,238791,60803,Willow & Chabrant,3.869756142550261,3.4893307672719436,7.359086909822203,POINT (6155125.65211584 1938362.40935373)
521,25,238791,60804,Willow & Lincoln,40.06696269416856,71.96472718458013,112.03168987874872,POINT (6154094.80542424 1937797.38259664)
522,25,238791,60805,Willow & Carolyn,1.4002307333189683,2.3633026287438046,3.763533362062774,POINT (6153023.68125416 1937206.78075948)
523,25,238791,60806,Willow & Camino Ramon,2.7774529392176444,6.233826549267719,9.011279488485362,POINT (6152029.12582858 1936662.40684822)
524,25,238791,60808,Meridian & Willow,30.437901967313735,58.605550984962726,89.04345295227647,POINT (6150562.49424741 1936334.94228007)
525,25,238660,60811,Fruitdale & Southwest Expressway,40.971472645002045,60.860051549757436,101.83152419475948,POINT (6149869.7676145 1938748.77045764)
526,25,238791,60812,Fruitdale & Goodwin,16.91561673620497,13.89628631172749,30.81190304793245,POINT (6148630.34259991 1938763.54798715)
527,25,238791,60813,Fruitdale & Leigh,13.27419018889606,71.43564499226262,84.70983518115871,POINT (6147687.25918424 1938775.32880348)
528,25,238791,60814,Fruitdale & Sherman Oaks,7.568876548288315,17.718084937937878,25.286961486226186,POINT (6146570.62198183 1938793.06662889)
529,25,238791,60815,Bascom & Fruitdale,142.5156167362049,198.24482641541474,340.7604431516197,POINT (6145332.2097605 1938912.12446165)
530,25,238791,60816,Jeffrey V. Smith & Turner (Valley Medical Center),58.50939534321886,124.79731077745784,183.30670612067667,POINT (6144653.343008 1940335.76892406)
531,25,238791,60820,Moorpark & Thornton,28.83355239531709,5.88636159592042,34.71991399123752,POINT (6143153.42310758 1940806.69580373)
532,25,238791,60821,Moorpark & Monroe,0.9235267183796589,4.318394922071393,5.241921640451053,POINT (6142273.832019 1940819.87392698)
