route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
Blue,285.2969.2,3970761,SANTA TERESA,1,9001,123170,1,1
Blue,285.2969.3,3970863,SANTA TERESA,1,9001,123170,1,1
Blue,285.2969.1,3970653,SANTA TERESA,1,9009,123170,1,1
Blue,285.2969.2,3970762,SANTA TERESA,1,9002,123170,1,1
Blue,285.2969.3,3970864,SANTA TERESA,1,9002,123170,1,1
Blue,285.2969.1,3970654,SANTA TERESA,1,9001,123170,1,1
Blue,285.2969.1,3970655,SANTA TERESA,1,9002,123170,1,1
Blue,285.2969.2,3970763,SANTA TERESA,1,9003,123170,1,1
Blue,285.2969.3,3970865,SANTA TERESA,1,9003,123170,1,1
Blue,285.2969.1,3970656,SANTA TERESA,1,9003,123170,1,1
Blue,285.2969.2,3970764,SANTA TERESA,1,9004,123170,1,1
Blue,285.2969.3,3970866,SANTA TERESA,1,9004,123170,1,1
Blue,285.2969.1,3970657,SANTA TERESA,1,9004,123170,1,1
Blue,285.2969.2,3970765,SANTA TERESA,1,9005,123170,1,1
Blue,285.2969.3,3970867,SANTA TERESA,1,9005,123170,1,1
Blue,285.2969.1,3970658,SANTA TERESA,1,9005,123170,1,1
Blue,285.2969.1,3970659,SANTA TERESA,1,9006,123170,1,1
Blue,285.2969.2,3970766,SANTA TERESA,1,9006,123170,1,1
Blue,285.2969.3,3970868,SANTA TERESA,1,9006,123170,1,1
Blue,285.2969.1,3970660,SANTA TERESA,1,9007,123170,1,1
Blue,285.2969.2,3970767,SANTA TERESA,1,9001,123170,1,1
Blue,285.2969.3,3970869,SANTA TERESA,1,9001,123170,1,1
Blue,285.2969.1,3970661,SANTA TERESA,1,9008,123170,1,1
Blue,285.2969.2,3970768,SANTA TERESA,1,9002,123170,1,1
Blue,285.2969.3,3970870,SANTA TERESA,1,9002,123170,1,1
Blue,285.2969.1,3970662,SANTA TERESA,1,9009,123170,1,1
Blue,285.2969.2,3970769,SANTA TERESA,1,9003,123170,1,1
Blue,285.2969.3,3970871,SANTA TERESA,1,9003,123170,1,1
Blue,285.2969.1,3970663,SANTA TERESA,1,9001,123170,1,1
Blue,285.2969.1,3970664,SANTA TERESA,1,9002,123170,1,1
Blue,285.2969.2,3970770,SANTA TERESA,1,9004,123170,1,1
Blue,285.2969.3,3970872,SANTA TERESA,1,9004,123170,1,1
Blue,285.2969.1,3970665,SANTA TERESA,1,9003,123170,1,1
Blue,285.2969.2,3970771,SANTA TERESA,1,9005,123170,1,1
Blue,285.2969.3,3970873,SANTA TERESA,1,9005,123170,1,1
Blue,285.2969.1,3970666,SANTA TERESA,1,9004,123170,1,1
Blue,285.2969.2,3970772,SANTA TERESA,1,9006,123170,1,1
Blue,285.2969.3,3970874,SANTA TERESA,1,9006,123170,1,1
Blue,285.2969.1,3970667,SANTA TERESA,1,9005,123170,1,1
Blue,285.2969.1,3970668,SANTA TERESA,1,9006,123170,1,1
Blue,285.2969.2,3970773,SANTA TERESA,1,9001,123170,1,1
Blue,285.2969.3,3970875,SANTA TERESA,1,9001,123170,1,1
Blue,285.2969.1,3970669,SANTA TERESA,1,9007,123170,1,1
Blue,285.2969.2,3970774,SANTA TERESA,1,9002,123170,1,1
Blue,285.2969.3,3970876,SANTA TERESA,1,9002,123170,1,1
Blue,285.2969.1,3970670,SANTA TERESA,1,9008,123170,1,1
Blue,285.2969.2,3970775,SANTA TERESA,1,9003,123170,1,1
Blue,285.2969.3,3970877,SANTA TERESA,1,9003,123170,1,1
Blue,285.2969.1,3970671,SANTA TERESA,1,9009,123170,1,1
Blue,285.2969.1,3970672,SANTA TERESA,1,9001,123170,1,1
Blue,285.2969.2,3970776,SANTA TERESA,1,9004,123170,1,1
Blue,285.2969.3,3970878,SANTA TERESA,1,9004,123170,1,1
Blue,285.2969.1,3970673,SANTA TERESA,1,9002,123170,1,1
Blue,285.2969.2,3970777,SANTA TERESA,1,9005,123170,1,1
