route_id,direction_id,stop_id,stop_sequence,mean_delay,stop_name,boardings,alightings,total_b_a,geometry,node,spacing_ft,index_right,cluster,adt,dist_to_adt
22,1,60441,28,323.7241379310345,Santa Clara & Market,69.43153643741881,68.5142960797373,137.94583251715613,POINT (6156878.64073583 1947605.91842572),1984576776,265.06645938849545,62.0,62.0,18831.0,115.57368108837919
22,1,60445,32,280.13793103448273,Santa Clara & Cahill,115.76268690459868,129.75330617095318,245.515993075552,POINT (6154143.02940917 1946434.52313073),65425223,192.50273753080063,19.0,19.0,9158.75,273.0734633340088
22,1,60446,33,325.9642857142857,The Alameda & Bush,56.501607297930846,103.89937741996567,160.40098471789648,POINT (6153307.07602859 1946397.89820398),3616819741,653.7403048741882,110.0,110.0,17070.666666666668,148.31577717087228
22,1,60450,36,255.58620689655172,The Alameda & Hester,9.078007939772649,17.49290137966609,26.57090931943873,POINT (6150439.91279966 1947103.82887873),3678132176,843.7662215548843,127.0,127.0,23240.0,291.23913742943114
22,1,60452,38,212.32142857142858,The Alameda & Taylor,145.55305185011065,124.8877442818619,270.44079613197255,POINT (6149022.07508416 1948635.04432023),3608363133,392.8299115885629,86.0,86.0,21743.333333333332,33.83270160673311
22,1,60455,41,192.89655172413794,The Alameda & Newhall,13.0342955247367,28.60333563495328,41.63763115968999,POINT (6146498.97022225 1950697.35646856),65539401,448.3108537357779,126.0,126.0,15507.0,113.80828967618176
23,0,60579,7,-101.0,Stevens Creek & Richfield,20.993024867289574,33.59210413769237,57.61846233831526,POINT (6130141.24867266 1943493.42960347),65430951,3165.983273952557,40.0,40.0,27332.0,82.41495106496046
23,0,60579,15,47.542857142857144,Stevens Creek & Richfield,20.993024867289574,33.59210413769237,57.61846233831526,POINT (6130141.24867266 1943493.42960347),65430951,261.08326340851534,40.0,40.0,27332.0,82.41495106496046
23,0,60583,18,65.42857142857143,Stevens Creek & Saratoga,68.51318656833364,31.91946925623396,100.43265582456752,POINT (6134528.80256158 1943457.33584365),2404194144,963.9605509222555,134.0,134.0,23530.5,298.16600887929235
23,0,60585,19,82.77142857142857,Stevens Creek & Harold,43.57506219270925,14.239385614385617,57.814447807094886,POINT (6136310.72681925 1943445.07963456),65430922,725.5972172802182,50.0,50.0,33570.0,309.7009935791082
23,0,60586,20,56.97142857142857,Stevens Creek & Cypress,83.05321067821069,54.80013638322463,137.85334706143533,POINT (6137329.6076555 1943436.45366757),4179596801,329.38487003560766,52.0,52.0,32046.0,135.36455665718643
23,0,60587,21,13.714285714285714,Stevens Creek & Henry,9.68445720945721,7.323531860296569,17.007989069753776,POINT (6138552.30566941 1943425.05966148),7871306317,350.95966784377094,51.0,51.0,31144.5,52.37090676801203
23,0,60593,24,-117.37142857142857,Stevens Creek & Bradley,37.84497830600771,64.40621339444866,102.25119170045646,POINT (6144835.42072783 1943373.96265081),65430859,1227.4932916526272,64.0,64.0,20418.0,287.91019603448115
23,0,60597,27,-77.5,San Carlos & Leigh,47.89554514113336,19.361539685804395,67.25708482693777,POINT (6147858.5236055 1943342.74814631),65580096,355.0578449806865,60.0,60.0,17864.25,206.54624261180342
23,0,60601,30,-84.91428571428571,San Carlos & Lincoln,15.665844939374354,14.398501988207869,30.06434692758221,POINT (6152187.386995 1943351.54307623),4894718768,591.7341503756356,109.0,109.0,18635.0,208.34291845640007
23,0,60603,32,-145.38235294117646,San Carlos & Barack Obama Blvd,63.277347244259055,112.40770512167572,175.68505236593475,POINT (6154646.17735299 1943797.87026756),580402450,552.7281783108199,10.0,10.0,15538.5,175.78694960421706
23,0,60604,33,-47.68571428571428,San Carlos & Josefa,1.826314371902608,5.727981577246283,7.554295949148891,POINT (6155134.91686109 1944141.23441023),2619144327,178.1051976032859,108.0,108.0,12780.0,175.23835324971375
23,0,60605,34,-104.34285714285714,San Carlos & Delmas,5.892544955044955,15.69988981606628,21.59243477111124,POINT (6155962.32498316 1944731.54228473),2619144364,315.7020349515891,116.0,116.0,10569.0,264.801372262932
23,0,60607,36,-153.57142857142858,San Carlos & Convention Center,21.843207038059973,130.62349382643504,152.46670086449504,POINT (6157817.57652199 1945749.03335997),3632374240,668.1624834458215,115.0,115.0,14997.0,83.07950689183669
23,0,65460,37,-127.0,1st & Paseo de San Antonio,68.25850840336133,269.3489162797987,337.6074246831598,POINT (6158208.50126508 1946482.08045031),65534051,772.2646039627801,119.0,119.0,3830.0,246.65616914064205
23,0,60412,38,-41.09375,Santa Clara & 1st,527.7515366169779,488.0801242058595,1015.8316608228376,POINT (6157574.84144317 1947946.23861124),65419211,710.6981142772968,98.0,98.0,10873.545454545454,44.73839382559847
23,0,60413,39,-11.2,Santa Clara & 6th,2008.3313936880124,1159.265020110608,3167.5964137986184,POINT (6158928.50802717 1948704.70395781),65529799,436.01436494100227,77.0,77.0,14389.0,268.5102785978346
23,0,60414,40,28.457142857142856,Santa Clara & 7th,271.7836664152841,105.29960815328468,377.0832745685686,POINT (6159225.73249833 1948886.74690081),65468916,108.49689294122119,77.0,77.0,14389.0,89.38664893319826
23,0,60415,41,10.571428571428571,Santa Clara & 11th,75.57082557964911,82.57483064321302,158.14565622286207,POINT (6160682.18627833 1949721.3400479),65450663,530.9580819186837,71.0,71.0,16540.0,236.104456021048
23,0,60416,42,1.0571428571428572,Santa Clara & 13th,21.590851713645836,34.090892196039256,55.68174390968508,POINT (6161161.25815482 1949993.21614456),3624053321,108.92894988280253,24.0,24.0,15372.0,281.383596645139
23,0,60418,43,-38.285714285714285,Santa Clara & 17th,74.73168653242185,195.31395124483356,270.04563777725554,POINT (6162125.66469058 1950549.64613406),65460546,397.4280467022063,69.0,69.0,16768.0,56.47035695870154
23,0,60419,44,-31.085714285714285,Santa Clara & 21st,39.46239340724635,99.70948895875364,139.17188236600006,POINT (6163225.61327808 1951192.6107274),65487649,386.7524395222068,21.0,21.0,17102.666666666668,96.41526399561018
