,counter_id,adt,main_road,counter_location,cross_road,nearby_intersect,geometry,index_right,route_id,route_name,route_desc,category,route_length,object_id
622,5068,20200.0,SANTA CLARA ST,E of,10TH ST,SANTA CLARA ST & 10TH ST,POINT (6160307.16504675 1949545.82169814),2,23875,22,PALO ALTO - EASTRIDGE,Frequent,242559.90769687793,3
622,5068,20200.0,SANTA CLARA ST,E of,10TH ST,SANTA CLARA ST & 10TH ST,POINT (6160307.16504675 1949545.82169814),3,23876,23,DE ANZA COL - ALUM ROCK STN,Frequent,120202.95218814221,4
622,5068,20200.0,SANTA CLARA ST,E of,10TH ST,SANTA CLARA ST & 10TH ST,POINT (6160307.16504675 1949545.82169814),54,23896,522,PALO ALTO - EASTRIDGE,Rapid,253522.04243493578,55
624,5070,20070.0,STORY RD,E of,MCCREERY AV,STORY RD & MCCREERY AV,POINT (6172134.99703407 1949788.36222357),4,23879,25,DE ANZA COL - VMC - ALUM ROCK STN,Frequent,140850.28949079284,5
627,5073,19840.0,SANTA CLARA ST,W of,4TH ST,SANTA CLARA ST & 4TH ST,POINT (6158251.69671674 1948364.81421764),2,23875,22,PALO ALTO - EASTRIDGE,Frequent,242559.90769687793,3
627,5073,19840.0,SANTA CLARA ST,W of,4TH ST,SANTA CLARA ST & 4TH ST,POINT (6158251.69671674 1948364.81421764),3,23876,23,DE ANZA COL - ALUM ROCK STN,Frequent,120202.95218814221,4
627,5073,19840.0,SANTA CLARA ST,W of,4TH ST,SANTA CLARA ST & 4TH ST,POINT (6158251.69671674 1948364.81421764),54,23896,522,PALO ALTO - EASTRIDGE,Rapid,253522.04243493578,55
627,5073,19840.0,SANTA CLARA ST,W of,4TH ST,SANTA CLARA ST & 4TH ST,POINT (6158251.69671674 1948364.81421764),55,23897,523,SAN JOSE STATE - LOCKHEED MARTIN,Rapid,162676.69029166122,56
632,5078,18780.0,BOLLINGER RD,W of,WHITEOAK DR,BOLLINGER RD & WHITEOAK DR,POINT (6125439.2574205 1938839.28832123),4,23879,25,DE ANZA COL - VMC - ALUM ROCK STN,Frequent,140850.28949079284,5
641,5087,18150.0,BOLLINGER RD,W of,HYDE AV,BOLLINGER RD & HYDE AV,POINT (6122214.93414475 1939087.02404623),4,23879,25,DE ANZA COL - VMC - ALUM ROCK STN,Frequent,140850.28949079284,5
646,5092,17910.0,ALUM ROCK AV,W of,FOSS AV,ALUM ROCK AV & FOSS AV,POINT (6171485.03803216 1955973.91743773),3,23876,23,DE ANZA COL - ALUM ROCK STN,Frequent,120202.95218814221,4
646,5092,17910.0,ALUM ROCK AV,W of,FOSS AV,ALUM ROCK AV & FOSS AV,POINT (6171485.03803216 1955973.91743773),54,23896,522,PALO ALTO - EASTRIDGE,Rapid,253522.04243493578,55
654,5100,17561.0,MERIDIAN AV,S of,SAN CARLOS ST,MERIDIAN AV & SAN CARLOS ST,POINT (6150592.91643067 1943216.68573439),3,23876,23,DE ANZA COL - ALUM ROCK STN,Frequent,120202.95218814221,4
654,5100,17561.0,MERIDIAN AV,S of,SAN CARLOS ST,MERIDIAN AV & SAN CARLOS ST,POINT (6150592.91643067 1943216.68573439),55,23897,523,SAN JOSE STATE - LOCKHEED MARTIN,Rapid,162676.69029166122,56
669,5115,16750.0,SANTA CLARA ST,W of,17TH ST,SANTA CLARA ST & 17TH ST,POINT (6162039.5621725 1950540.66682132),2,23875,22,PALO ALTO - EASTRIDGE,Frequent,242559.90769687793,3
669,5115,16750.0,SANTA CLARA ST,W of,17TH ST,SANTA CLARA ST & 17TH ST,POINT (6162039.5621725 1950540.66682132),3,23876,23,DE ANZA COL - ALUM ROCK STN,Frequent,120202.95218814221,4
669,5115,16750.0,SANTA CLARA ST,W of,17TH ST,SANTA CLARA ST & 17TH ST,POINT (6162039.5621725 1950540.66682132),54,23896,522,PALO ALTO - EASTRIDGE,Rapid,253522.04243493578,55
671,5117,16690.0,BOLLINGER RD,E of,ALDERBROOK LN,BOLLINGER RD & ALDERBROOK LN,POINT (6120365.92996874 1938967.18964022),4,23879,25,DE ANZA COL - VMC - ALUM ROCK STN,Frequent,140850.28949079284,5
676,5122,16540.0,SANTA CLARA ST,E of,12TH ST,SANTA CLARA ST & 12TH ST,POINT (6160867.08748333 1949868.16258889),2,23875,22,PALO ALTO - EASTRIDGE,Frequent,242559.90769687793,3
676,5122,16540.0,SANTA CLARA ST,E of,12TH ST,SANTA CLARA ST & 12TH ST,POINT (6160867.08748333 1949868.16258889),3,23876,23,DE ANZA COL - ALUM ROCK STN,Frequent,120202.95218814221,4
